cvorNumber,reportDate,id,date,time,ticket,location,driverName,driverLicence,vehicle1_plate,convictionDate,chargedCarrier,offence,points,microfilm
030-720-022,2024-07-25,20240725-conv-9,2024-07-02,16:20,CONV-20240725-009,"HWY 7 Mississauga, ON","SHARMA, R",D2000819-ON,PR5063,2024-08-01,N,HTA s.128 - Speeding,2,MF240725-0009
030-720-022,2024-07-25,20240725-conv-8,2024-06-10,13:45,CONV-20240725-008,"HWY 400 Barrie, ON","SINGH, M",D2000728-ON,PR5056,2024-07-10,N,HTA s.128 - Speeding,2,MF240725-0008
030-720-022,2024-07-25,20240725-conv-7,2024-05-19,09:30,CONV-20240725-007,"HWY 401 Toronto, ON","GILL, P",D2000637-ON,PR5049,2024-06-18,N,HTA s.128 - Speeding,2,MF240725-0007
030-720-022,2024-07-25,20240725-conv-6,2024-04-27,10:15,CONV-20240725-006,"HWY 416 Ottawa, ON","BAJWA, S",D2000546-ON,PR5042,2024-05-27,N,HTA s.128 - Speeding,3,MF240725-0006
030-720-022,2024-07-25,20240725-conv-5,2024-04-05,14:30,CONV-20240725-005,"HWY 403 Brantford, ON","BRAR, H",D2000455-ON,PR5035,2024-05-05,N,HTA s.128 - Speeding,3,MF240725-0005
030-720-022,2024-07-25,20240725-conv-4,2024-03-14,11:00,CONV-20240725-004,"QEW Hamilton, ON","DHILLON, K",D2000364-ON,PR5028,2024-04-13,N,HTA s.128 - Speeding,3,MF240725-0004
030-720-022,2024-07-25,20240725-conv-3,2024-02-21,08:15,CONV-20240725-003,"HWY 11 North Bay, ON","GREWAL, J",D2000273-ON,PR5021,2024-03-22,N,HTA s.128 - Speeding,3,MF240725-0003
030-720-022,2024-07-25,20240725-conv-2,2024-01-30,16:20,CONV-20240725-002,"HWY 7 Mississauga, ON","PATEL, A",D2000182-ON,PR5014,2024-02-29,N,HTA s.128 - Speeding,3,MF240725-0002
030-720-022,2024-07-25,20240725-conv-1,2024-01-08,13:45,CONV-20240725-001,"HWY 400 Barrie, ON","SHARMA, R",D2000091-ON,PR5007,2024-02-07,N,HTA s.128 - Speeding,3,MF240725-0001
030-720-022,2024-07-25,20240725-conv-0,2023-12-17,09:30,CONV-20240725-000,"HWY 401 Toronto, ON","SINGH, M",D2000000-ON,PR5000,2024-01-16,N,HTA s.128 - Speeding,3,MF240725-0000
030-720-022,2024-07-25,20240725-conv-18,2023-10-31,11:00,CONV-20240725-018,"QEW Hamilton, ON","PATEL, A",D2001638-ON,PR5126,2023-11-30,N,HTA s.84 - Defective brakes,2,MF240725-0018
030-720-022,2024-07-25,20240725-conv-17,2023-10-07,08:15,CONV-20240725-017,"HWY 11 North Bay, ON","SHARMA, R",D2001547-ON,PR5119,2023-11-06,N,HTA s.84 - Defective brakes,2,MF240725-0017
030-720-022,2024-07-25,20240725-conv-16,2023-09-12,16:20,CONV-20240725-016,"HWY 7 Mississauga, ON","SINGH, M",D2001456-ON,PR5112,2023-10-12,N,HTA s.84 - Defective brakes,3,MF240725-0016
030-720-022,2024-07-25,20240725-conv-15,2023-08-19,13:45,CONV-20240725-015,"HWY 400 Barrie, ON","GILL, P",D2001365-ON,PR5105,2023-09-18,N,HTA s.84 - Defective brakes,3,MF240725-0015
030-720-022,2024-07-25,20240725-conv-14,2023-07-25,09:30,CONV-20240725-014,"HWY 401 Toronto, ON","BAJWA, S",D2001274-ON,PR5098,2023-08-24,N,HTA s.84 - Defective brakes,3,MF240725-0014
030-720-022,2024-07-25,20240725-conv-13,2023-07-01,10:15,CONV-20240725-013,"HWY 416 Ottawa, ON","BRAR, H",D2001183-ON,PR5091,2023-07-31,N,HTA s.128 - Speeding,3,MF240725-0013
030-720-022,2024-07-25,20240725-conv-12,2023-06-06,14:30,CONV-20240725-012,"HWY 403 Brantford, ON","DHILLON, K",D2001092-ON,PR5084,2023-07-06,N,HTA s.128 - Speeding,3,MF240725-0012
030-720-022,2024-07-25,20240725-conv-11,2023-05-13,11:00,CONV-20240725-011,"QEW Hamilton, ON","GREWAL, J",D2001001-ON,PR5077,2023-06-12,N,HTA s.128 - Speeding,3,MF240725-0011
030-720-022,2024-07-25,20240725-conv-10,2023-04-18,08:15,CONV-20240725-010,"HWY 11 North Bay, ON","PATEL, A",D2000910-ON,PR5070,2023-05-18,N,HTA s.128 - Speeding,3,MF240725-0010
030-720-022,2024-07-25,20240725-conv-25,2023-02-22,11:00,CONV-20240725-025,"QEW Hamilton, ON","SHARMA, R",D2002275-ON,PR5175,2023-03-24,N,HTA s.74 - Other,2,MF240725-0025
030-720-022,2024-07-25,20240725-conv-24,2023-01-23,08:15,CONV-20240725-024,"HWY 11 North Bay, ON","SINGH, M",D2002184-ON,PR5168,2023-02-22,N,HTA s.74 - Other,2,MF240725-0024
030-720-022,2024-07-25,20240725-conv-23,2022-12-23,16:20,CONV-20240725-023,"HWY 7 Mississauga, ON","GILL, P",D2002093-ON,PR5161,2023-01-22,Y,HTA s.111 - Improperly secured load,3,MF240725-0023
030-720-022,2024-07-25,20240725-conv-22,2022-11-23,13:45,CONV-20240725-022,"HWY 400 Barrie, ON","BAJWA, S",D2002002-ON,PR5154,2022-12-23,Y,HTA s.111 - Improperly secured load,3,MF240725-0022
030-720-022,2024-07-25,20240725-conv-21,2022-10-24,09:30,CONV-20240725-021,"HWY 401 Toronto, ON","BRAR, H",D2001911-ON,PR5147,2022-11-23,Y,HTA s.111 - Improperly secured load,3,MF240725-0021
030-720-022,2024-07-25,20240725-conv-20,2022-09-23,10:15,CONV-20240725-020,"HWY 416 Ottawa, ON","DHILLON, K",D2001820-ON,PR5140,2022-10-23,N,HTA s.84 - Defective brakes,3,MF240725-0020
030-720-022,2024-07-25,20240725-conv-19,2022-08-24,14:30,CONV-20240725-019,"HWY 403 Brantford, ON","GREWAL, J",D2001729-ON,PR5133,2022-09-23,N,HTA s.84 - Defective brakes,3,MF240725-0019
