cvorNumber,reportDate,id,date,startTime,endTime,cvir,location,driverName,driverLicence,driverLicenceJurisdiction,vehicle1_make,vehicle1_unit,vehicle1_plate,vehicle1_jurisdiction,level,vehiclePoints,driverPoints,oosCount,totalDefects,charged,coDriver,impoundment
369-110-004,2026-01-26,20260126-insp-35,2026-01-06,09:00,09:45,CVIR2601260035,"HWY 401 Toronto, ON","GREWAL, J",D3001855-ON,ON,VOLVO,T335,PR6245,CAON,5,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-34,2025-12-17,10:30,11:10,CVIR2601260034,"HWY 416 Ottawa, ON","PATEL, A",D3001802-ON,ON,WESTERN,T334,PR6238,CAON,5,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-33,2025-11-27,14:00,14:40,CVIR2601260033,"HWY 403 Brantford, ON","SHARMA, R",D3001749-ON,ON,INTL,T333,PR6231,CAON,5,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-32,2025-11-07,08:30,09:10,CVIR2601260032,"QEW Hamilton, ON","SINGH, M",D3001696-ON,ON,MACK,T332,PR6224,CAON,4,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-31,2025-10-18,15:45,16:25,CVIR2601260031,"HWY 11 North Bay, ON","GILL, P",D3001643-ON,ON,KENWORTH,T331,PR6217,CAON,4,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-30,2025-09-28,13:15,13:55,CVIR2601260030,"HWY 7 Mississauga, ON","BAJWA, S",D3001590-ON,ON,PETERBILT,T330,PR6210,CAON,4,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-29,2025-09-08,11:30,12:15,CVIR2601260029,"HWY 400 Barrie, ON","BRAR, H",D3001537-ON,ON,FREIGHTLN,T329,PR6203,CAON,4,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-28,2025-08-19,09:00,09:45,CVIR2601260028,"HWY 401 Toronto, ON","DHILLON, K",D3001484-ON,ON,VOLVO,T328,PR6196,CAON,4,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-27,2025-07-31,10:30,11:10,CVIR2601260027,"HWY 416 Ottawa, ON","GREWAL, J",D3001431-ON,ON,WESTERN,T327,PR6189,CAON,4,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-26,2025-07-11,14:00,14:40,CVIR2601260026,"HWY 403 Brantford, ON","PATEL, A",D3001378-ON,ON,INTL,T326,PR6182,CAON,4,0,0,1,2,Y,N,N
369-110-004,2026-01-26,20260126-insp-25,2025-06-21,08:30,09:10,CVIR2601260025,"QEW Hamilton, ON","SHARMA, R",D3001325-ON,ON,MACK,T325,PR6175,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-24,2025-06-01,15:45,16:25,CVIR2601260024,"HWY 11 North Bay, ON","SINGH, M",D3001272-ON,ON,KENWORTH,T324,PR6168,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-23,2025-05-13,13:15,13:55,CVIR2601260023,"HWY 7 Mississauga, ON","GILL, P",D3001219-ON,ON,PETERBILT,T323,PR6161,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-22,2025-04-23,11:30,12:15,CVIR2601260022,"HWY 400 Barrie, ON","BAJWA, S",D3001166-ON,ON,FREIGHTLN,T322,PR6154,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-21,2025-04-03,09:00,09:45,CVIR2601260021,"HWY 401 Toronto, ON","BRAR, H",D3001113-ON,ON,VOLVO,T321,PR6147,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-20,2025-03-14,10:30,11:10,CVIR2601260020,"HWY 416 Ottawa, ON","DHILLON, K",D3001060-ON,ON,WESTERN,T320,PR6140,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-19,2025-02-24,14:00,14:40,CVIR2601260019,"HWY 403 Brantford, ON","GREWAL, J",D3001007-ON,ON,INTL,T319,PR6133,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-18,2025-02-04,08:30,09:10,CVIR2601260018,"QEW Hamilton, ON","PATEL, A",D3000954-ON,ON,MACK,T318,PR6126,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-17,2025-01-15,15:45,16:25,CVIR2601260017,"HWY 11 North Bay, ON","SHARMA, R",D3000901-ON,ON,KENWORTH,T317,PR6119,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-16,2024-12-26,13:15,13:55,CVIR2601260016,"HWY 7 Mississauga, ON","SINGH, M",D3000848-ON,ON,PETERBILT,T316,PR6112,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-15,2024-12-07,11:30,12:15,CVIR2601260015,"HWY 400 Barrie, ON","GILL, P",D3000795-ON,ON,FREIGHTLN,T315,PR6105,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-14,2024-11-17,09:00,09:45,CVIR2601260014,"HWY 401 Toronto, ON","BAJWA, S",D3000742-ON,ON,VOLVO,T314,PR6098,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-13,2024-10-27,10:30,11:10,CVIR2601260013,"HWY 416 Ottawa, ON","BRAR, H",D3000689-ON,ON,WESTERN,T313,PR6091,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-12,2024-10-07,14:00,14:40,CVIR2601260012,"HWY 403 Brantford, ON","DHILLON, K",D3000636-ON,ON,INTL,T312,PR6084,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-11,2024-09-18,08:30,09:10,CVIR2601260011,"QEW Hamilton, ON","GREWAL, J",D3000583-ON,ON,MACK,T311,PR6077,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-10,2024-08-29,15:45,16:25,CVIR2601260010,"HWY 11 North Bay, ON","PATEL, A",D3000530-ON,ON,KENWORTH,T310,PR6070,CAON,3,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-9,2024-08-09,13:15,13:55,CVIR2601260009,"HWY 7 Mississauga, ON","SHARMA, R",D3000477-ON,ON,PETERBILT,T309,PR6063,CAON,3,1,0,1,2,Y,N,N
369-110-004,2026-01-26,20260126-insp-8,2024-07-20,11:30,12:15,CVIR2601260008,"HWY 400 Barrie, ON","SINGH, M",D3000424-ON,ON,FREIGHTLN,T308,PR6056,CAON,2,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-7,2024-07-01,09:00,09:45,CVIR2601260007,"HWY 401 Toronto, ON","GILL, P",D3000371-ON,ON,VOLVO,T307,PR6049,CAON,2,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-6,2024-06-11,10:30,11:10,CVIR2601260006,"HWY 416 Ottawa, ON","BAJWA, S",D3000318-ON,ON,WESTERN,T306,PR6042,CAON,2,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-5,2024-05-22,14:00,14:40,CVIR2601260005,"HWY 403 Brantford, ON","BRAR, H",D3000265-ON,ON,INTL,T305,PR6035,CAON,2,1,0,1,2,Y,N,N
369-110-004,2026-01-26,20260126-insp-4,2024-05-02,08:30,09:10,CVIR2601260004,"QEW Hamilton, ON","DHILLON, K",D3000212-ON,ON,MACK,T304,PR6028,CAON,1,0,0,0,0,N,N,N
369-110-004,2026-01-26,20260126-insp-3,2024-04-13,15:45,16:25,CVIR2601260003,"HWY 11 North Bay, ON","GREWAL, J",D3000159-ON,ON,KENWORTH,T303,PR6021,CAON,1,1,0,1,2,Y,N,N
369-110-004,2026-01-26,20260126-insp-2,2024-03-24,13:15,13:55,CVIR2601260002,"HWY 7 Mississauga, ON","PATEL, A",D3000106-ON,ON,PETERBILT,T302,PR6014,CAON,1,1,0,1,2,Y,N,N
369-110-004,2026-01-26,20260126-insp-1,2024-03-05,11:30,12:15,CVIR2601260001,"HWY 400 Barrie, ON","SHARMA, R",D3000053-ON,ON,FREIGHTLN,T301,PR6007,CAON,1,1,0,1,2,Y,N,N
369-110-004,2026-01-26,20260126-insp-0,2024-02-14,09:00,09:45,CVIR2601260000,"HWY 401 Toronto, ON","SINGH, M",D3000000-ON,ON,VOLVO,T300,PR6000,CAON,1,1,1,1,2,Y,N,N
